Coefficients,Binary
1058.037941,0000010000100010
936.340285,0000001110101000
656.087794,0000001010010000
318.327229,0000000100111110
-2.772026,1111111111111101
-315.907644,1111111011000100
-652.922629,1111110101110011
-967.650338,1111110000111000
-1103.953787,1111101110110000
-957.852469,1111110001000010
-522.692516,1111110111110101
-33.807836,1111111111011110
208.408696,0000000011010000
32.289732,0000000000100000
-472.692080,1111111000100111
-1000.109390,1111110000011000
-1211.767556,1111101101000100
-994.590872,1111110000011101
-496.302605,1111111000010000
0.188485,0000000000000000
205.613837,0000000011001101
0.732925,0000000000000000
-495.890756,1111111000010000
-994.938938,1111110000011101
-1192.024367,1111101101011000
-994.858234,1111110000011101
-494.818063,1111111000010001
3.056554,0000000000000011
207.353313,0000000011001111
-2.167578,1111111111111110
-505.600257,1111111000000110
-1010.541223,1111110000001101
-1230.463728,1111101100110010
-1016.014657,1111110000001000
-482.182621,1111111000011110
29.671413,0000000000011101
210.125338,0000000011010010
-31.202022,1111111111100001
-521.400863,1111110111110111
-958.074747,1111110001000010
-1104.503340,1111101110101111
-967.908236,1111110000111000
-652.896558,1111110101110011
-315.887714,1111111011000100
-2.817692,1111111111111101
318.347158,0000000100111110
656.113865,0000001010010000
936.082387,0000001110101000
1036.685798,0000010000001100
930.644573,0000001110100010
680.797082,0000001010101000
352.772034,0000000101100000
1.716643,0000000000000001
-352.784539,1111111010011111
-688.995971,1111110101001111
-946.772119,1111110001001101
-1034.958983,1111101111110101
-946.727035,1111110001001101
-689.188859,1111110101001111
-353.046793,1111111010011111
1.693810,0000000000000001
353.054219,0000000101100001
681.016042,0000001010101001
930.341591,0000001110100010
1035.966295,0000010000001011
935.860109,0000001110100111
657.405518,0000001010010001
320.952972,0000000101000000
-1.101049,1111111111111111
-318.506032,1111111011000001
-662.387099,1111110101101010
-983.813503,1111110000101000
-1143.832153,1111101110001000
-979.498532,1111110000101101
-507.280880,1111111000000101
-1.719095,1111111111111110
214.636840,0000000011010110
-2.263534,1111111111111110
-507.692729,1111111000000100
-979.150466,1111110000101101
-1163.745292,1111101101110100
-989.109743,1111110000100011
-640.068228,1111110110000000
-289.010600,1111111011011111
-0.022833,0000000000000000
289.030530,0000000100100001
640.094299,0000001010000000
988.851845,0000001111011100
1163.365688,0000010010001011
978.973272,0000001111010010
508.791493,0000000111111100
4.607093,0000000000000100
-212.943030,1111111100101011
-0.617039,1111111111111111
498.009299,0000000111110010
963.290283,0000001111000011
1124.586428,0000010001100100
967.685958,0000001111000111
654.188211,0000001010001110
318.493528,0000000100111110
4.534334,0000000000000100
-320.965477,1111111010111111
-665.604406,1111110101100110
-951.987655,1111110001001000
-1055.212020,1111101111100001
-946.549841,1111110001001101
-690.287624,1111110101001110
-355.390352,1111111010011101
-0.000000,0000000000000000
355.390352,0000000101100011
690.287624,0000001010110010
946.549841,0000001110110010
1055.212020,0000010000011111
951.987655,0000001110110111
665.604406,0000001010011001
320.965477,0000000101000000
-4.534334,1111111111111011
-318.493528,1111111011000010
-654.188211,1111110101110010
-967.685958,1111110000111000
-1103.613889,1111101110110000
-957.726681,1111110001000010
-521.812712,1111110111110110
-31.746462,1111111111100000
210.125338,0000000011010010
30.215853,0000000000011110
-481.770773,1111111000011110
-1016.362723,1111110000001000
-1231.353180,1111101100110001
-1010.763501,1111110000001101
-504.308604,1111111000001000
0.438236,0000000000000000
209.069955,0000000011010001
0.438236,0000000000000000
-504.308604,1111111000001000
-1010.763501,1111110000001101
-1210.380640,1111101101000110
-1010.799121,1111110000001101
-505.574186,1111111000000110
-2.147648,1111111111111110
207.307647,0000000011001111
3.076484,0000000000000011
-494.791992,1111111000010001
-995.116132,1111110000011101
-1213.206561,1111101101000011
-1000.634650,1111110000010111
-471.181467,1111111000101001
35.177730,0000000000100011
210.102505,0000000011010010
-36.688409,1111111111011011
-532.375946,1111110111101100
-973.712652,1111110000110010
-1122.310061,1111101110011110
-983.555605,1111110000101000
-662.413170,1111110101101010
-318.525962,1111111011000001
-1.055383,1111111111111111
320.933042,0000000101000000
657.379447,0000001010010001
936.118007,0000001110101000
1036.345899,0000010000001100
930.518785,0000001110100010
679.917278,0000001010100111
350.710660,0000000101011110
0.000000,0000000000000000
-350.710660,1111111010100001
-679.917278,1111110101011000
-930.518785,1111110001011101
-1015.543309,1111110000001000
-930.599489,1111110001011101
-680.989971,1111110101010111
-353.034289,1111111010011111
